listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
75683,Kiloranhouse Apt Prime Bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/5499026/efcee0e9_original.jpg,13,26997,Adriel,"","",false,-1.2848,36.7924,,,1,0.0,false,"Window guards,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Body soap,Breakfast,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Coffee,Clothing storage,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Outdoor playground,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Toaster",true,false,2,Moderate,KES,0,0,25,4.79,4.6,4.9,4.8,5.0,4.8,4.7,1092.0,141049.0,50.1,6474.0,0.066,0.0,3.0,386.4,0.0,0.0,24,0,341,365,620.0,80107.0,45.4,5871.6,0.167,0.0,6.9,890.1,0.0,0.0,15,0,75,90
471581,Located In a Serene Environment,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/6434524/bcd9fbe4_original.jpg,37,2280941,Bella,"","",true,-1.2268,36.8577,3,2,2,1.0,false,"TV,Wifi,Kitchen,Free parking on premises,Hot water,Body soap,Resort access,Mosquito net,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Backyard,Essentials,Shampoo,Hangers,Iron,Dedicated workspace",false,false,2,Moderate,KES,8,0,81,4.81,4.8,4.8,4.7,4.9,4.8,4.8,6225.0,804490.0,44.8,5791.6,0.395,0.548,17.1,2204.1,23.7,3058.9,144,102,221,365,1273.0,164474.0,41.7,5389.2,0.344,0.564,14.1,1827.5,23.1,2990.4,31,35,59,90
906958,Makena's Place Karen - Flamingo Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/68ecc57f-d57b-4d12-bfa6-bbd1fb4107e3.jpg,29,4856316,Chichi,"","",true,-1.3240,36.7053,,,1,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",true,false,1,Firm,KES,10,20,67,4.91,4.9,4.9,5.0,4.9,4.9,4.9,4604.0,594869.0,52.4,6772.2,0.244,0.0,12.6,1629.8,0.0,0.0,89,0,276,365,50.0,6460.0,53.5,6909.6,0.011,0.0,0.6,71.8,0.0,0.0,1,0,89,90
1023556,Guesthouse Near Nairobi National Park & Airport,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/ddd8badc-1f83-4a6e-827b-ec8f5b1dcd56.jpg,20,5634522,Janet,"","",false,-1.3222,36.7852,2,1,2,2.5,false,"TV,Blender,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Iron,Dedicated workspace,Freezer,Rice maker",false,false,1,Flexible,KES,5,0,154,4.84,4.9,4.9,4.9,4.9,4.7,4.8,224.0,29004.0,28.1,3631.3,0.03,0.0,0.6,79.5,0.0,0.0,11,0,354,365,58.0,7494.0,21.9,2825.2,0.033,0.0,0.6,83.3,0.0,0.0,3,0,87,90
1237886,Hob House,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/cbdab7e1-f840-44ed-a028-6085d21ea284.jpg?aki_policy=medium,8,6748840,,"","",false,-1.2258,36.7679,2,7,9,1.0,,"Air conditioning,Kitchen,Dryer,Heating,Wifi,Free parking on premises,Hair dryer,Cable TV,Iron,Washer,TV,Breakfast,Hangers,Essentials,Indoor fireplace,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Shampoo,Bathtub,Baby bath,High chair,Children’s books and toys,Window guards,Fireplace guards,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed",,,1,Flexible,KES,0,20,57,4.79,4.8,4.8,4.9,4.6,4.7,4.8,1308.0,168583.0,119.2,15401.5,0.03,0.0,3.6,461.9,0.0,0.0,11,0,354,365,603.0,77910.0,122.4,15817.4,0.056,0.0,6.7,865.7,0.0,0.0,5,0,85,90
1803821,Makena's Place Karen - All Rooms,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/786899c5-b8a6-4453-bb73-a9f0e90add80.jpg,58,4856316,Chichi,"","",true,-1.3237,36.7059,,3,3,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",true,,1,Firm,KES,10,0,11,4.91,5.0,5.0,5.0,4.5,4.9,4.9,3182.0,410828.0,131.7,17024.7,0.066,0.076,8.7,1125.6,10.0,1296.0,24,48,341,365,0.0,0.0,127.9,16520.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1808465,Makena's Place Karen - K Girl & Gecko Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/cf1c76e0-0493-4149-bb66-1faea2658c8c.jpg,15,4856316,Chichi,"","",true,-1.3233,36.7077,,2,2,0.0,false,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",true,false,1,Firm,KES,5,30,78,4.97,5.0,5.0,5.0,5.0,5.0,5.0,2917.0,377077.0,36.1,4667.6,0.227,0.0,8.0,1033.1,0.0,0.0,83,0,282,365,418.0,54007.0,37.3,4820.7,0.122,0.0,4.6,600.1,0.0,0.0,11,0,79,90
2486516,Stunning guest cottage in tranquil setting,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2486516/original/05ea2fe5-9e30-43a6-af43-4b1273aedeff.jpeg,26,3934891,Jeremy,"","",true,-1.3734,36.7403,8,4,5,2.0,false,"TV,Window guards,Wifi,Pool,Crib,Kitchen,Board games,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Private entrance",false,false,1,Moderate,KES,20,100,137,4.98,5.0,5.0,5.0,5.0,5.0,4.9,14739.0,1906576.0,181.6,23465.2,0.233,0.0,40.4,5223.5,0.0,0.0,85,0,280,365,2205.0,284894.0,218.9,28288.4,0.111,0.0,24.5,3165.5,0.0,0.0,10,0,80,90
2498391,Cosy 2 Bedroom Guest House in Lavington Green,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5dbcd0fe-18af-4c93-b10d-5e02ae627a51.jpg,42,289048986,Ciru,"12788164,501477043","Stanley,Lorna",false,-1.2743,36.7746,2,2,2,1.0,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster",false,false,2,Moderate,KES,9,0,19,4.95,5.0,4.9,4.8,5.0,5.0,4.8,3099.0,400741.0,64.9,8390.6,0.134,0.159,8.5,1097.9,10.0,1296.9,49,56,316,365,990.0,127913.0,62.0,8009.2,0.178,0.0,11.0,1421.3,0.0,0.0,16,0,74,90
2868580,Cosy Garden Cottage / House,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/37119989/faf28811_original.jpg,18,14663062,Jürgen,"","",true,-1.2298,36.7976,1,1,1,1.0,false,"Wifi,Kitchen,Free parking on premises,Hot water,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace",false,false,3,Flexible,KES,17,0,43,4.91,5.0,5.0,4.9,5.0,4.9,4.9,7942.0,1025862.0,34.5,4454.3,0.638,0.742,21.8,2810.6,25.3,3267.1,233,51,132,365,1895.0,244837.0,35.7,4612.5,0.589,0.898,21.1,2720.4,32.1,4149.8,53,31,37,90
