listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
24003188,2024-11-01,30,0,0.0,0.0,44.5,,,,,,5741.0,0.0
24003188,2024-12-01,31,0,0.0,0.0,44.3,,,,2,,5737.0,0.0
24003188,2025-01-01,22,9,0.29,399.0,44.5,44.3,55,10,2,5722.0,5748.0,51539.0
24003188,2025-02-01,0,28,1.0,1249.0,44.6,44.6,15,27,2,5761.0,5761.0,161330.0
24003188,2025-03-01,3,28,0.903,1219.0,43.5,43.5,17,18,2,5590.0,5590.0,156646.0
24003188,2025-04-01,22,8,0.267,351.0,44.6,43.9,,,2,5685.0,5776.0,45455.0
24003188,2025-05-01,31,0,0.0,0.0,45.0,,,,2,,5843.0,0.0
24003188,2025-06-01,30,0,0.0,0.0,40.5,,,,2,,5233.0,0.0
24003188,2025-07-01,31,0,0.0,0.0,39.4,,,,2,,5091.0,0.0
24003188,2025-08-01,31,0,0.0,0.0,39.4,,,,2,,5091.0,0.0
24003188,2025-09-01,30,0,0.0,0.0,39.3,,,,2,,5078.0,0.0
24003188,2025-10-01,31,0,0.0,0.0,38.7,,,,2,,5000.0,0.0
29733594,2024-11-01,27,3,0.1,53.0,18.2,17.7,1,1,,2283.0,2348.0,6837.0
29733594,2024-12-01,27,4,0.129,70.0,18.0,17.5,10,10,1,2266.0,2331.0,9065.0
29733594,2025-01-01,25,6,0.194,114.0,19.4,19.0,,,1,2454.0,2506.0,14725.0
29733594,2025-02-01,28,0,0.0,0.0,19.5,,,,1,,2519.0,0.0
29733594,2025-03-01,31,0,0.0,0.0,19.0,,,,1,,2442.0,0.0
29733594,2025-04-01,30,0,0.0,0.0,19.6,,,,1,,2538.0,0.0
29733594,2025-05-01,31,0,0.0,0.0,19.9,,,,1,,2584.0,0.0
29733594,2025-06-01,30,0,0.0,0.0,21.8,,,,1,,2817.0,0.0
29733594,2025-07-01,31,0,0.0,0.0,21.1,,,,1,,2726.0,0.0
